2017-04-01	17.19	4.99
2017-04-02	15	4.99
2017-04-03	13.83	4.99
2017-04-04	15.86	4.99
2017-04-05	16.97	4.99
2017-04-06	15	4.99
2017-04-07	14.69	4.99
2017-04-08	10.61	4.99
2017-04-09	10	4.99
2017-04-10	14.69	4.99
2017-04-11	15	4.99
2017-04-12	15	4.99
2017-04-13	13.03	4.99
2017-04-14	11.67	4.99
2017-04-15	15	4.99
2017-04-17	14.39	4.99
2017-04-18	13.28	5.99
2017-04-19	15.61	5.99
2017-04-20	13.89	5.99
2017-04-21	16.94	5.99
2017-04-22	15	5.99
2017-04-23	13.28	5.99
2017-04-24	13.89	5.99
2017-04-25	14.39	5.99
2017-04-26	15.61	5.99
2017-04-27	14.14	5.99
2017-04-28	15.61	5.99
2017-04-29	18.83	5.99
2017-04-30	16.97	5.99
2017-05-01	20.56	5.99
2017-05-02	21.94	5.99
2017-05-03	22.78	5.99
2017-05-04	17.78	5.99
2017-05-05	14.69	5.99
2017-05-06	13.89	5.99
2017-05-07	16.72	5.99
2017-05-08	16.17	5.99
2017-05-09	16.86	5.99
2017-05-10	15.56	5.99
2017-05-11	15	5.99
2017-05-12	12.78	5.99
2017-05-13	11.97	5.99
2017-05-14	13.28	5.99
2017-05-15	13.03	5.99
2017-05-16	14.39	5.99
2017-05-17	13.28	5.99
2017-05-18	17.78	5.99
2017-05-19	20.56	5.99
2017-05-20	22.22	5.99
2017-05-21	21.17	5.99
2017-05-22	18.28	5.99
2017-05-23	16.97	5.99
2017-05-24	15.31	5.99
2017-05-25	14.69	5.99
2017-05-26	14.69	5.99
2017-05-27	14.39	5.99
2017-05-28	13.89	5.99
2017-05-30	14.39	5.99
2017-05-31	17.22	5.99
2017-06-01	16.72	5.99
2017-06-02	17.5	5.99
2017-06-03	15.61	5.99
2017-06-04	17.25	5.99
2017-06-05	17.78	5.99
2017-06-06	15	5.99
2017-06-07	16.97	5.99
2017-06-08	18.28	5.99
2017-06-09	16.72	5.99
2017-06-10	15.61	5.99
2017-06-11	14.69	5.99
2017-06-12	13.89	5.99
2017-06-13	16.17	5.99
2017-06-14	18.03	5.99
2017-06-15	19.69	5.99
2017-06-16	22.5	5.99
2017-06-17	23.28	5.99
2017-06-18	28.31	5.99
2017-06-19	25	5.99
2017-06-20	20.56	5.99
2017-06-21	23.89	5.99
2017-06-22	24.44	5.99
2017-06-23	20.61	5.99
2017-06-24	18.28	5.99
2017-06-25	17.22	5.99
2017-06-26	18.28	5.99
2017-06-27	16.72	5.99
2017-06-28	16.72	5.99
2017-06-29	16.11	5.99
2017-06-30	16.72	5.99
