@relation QueryResult

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute WeekDay numeric
@attribute Comments numeric
@attribute Price numeric
@attribute StockQuantity numeric
@attribute SalesQuantity numeric

@data
2011,5,24,1,13.027777,5.99,3758,109
2011,5,25,2,13.583333,5.99,3850,130
2011,5,26,3,14.388888,5.99,3901,110
2011,5,27,4,14,5.99,3999,137
2011,5,28,5,13.888888,5.99,3862,164
2011,5,29,6,12.888888,5.99,3698,165
2011,5,31,1,14.388888,5.99,4053,190
2011,6,1,2,13.583333,5.99,4075,141
2011,6,2,3,14.138888,5.99,4103,98
2011,6,3,4,15,5.99,4230,154
2011,6,4,5,15,5.99,4076,169
2011,6,5,6,15,5.99,4153,175
2011,6,6,0,15,5.99,4179,130
2011,6,7,1,15.305555,5.99,4255,135
2011,6,8,2,15,5.99,4315,124
2011,6,9,3,14,5.99,4402,140
2011,6,10,4,15.305555,5.99,4459,126
2011,6,11,5,15,5.99,4333,136
2011,6,12,6,15,5.99,4442,174
2011,6,13,0,16.111111,5.99,4482,143
2011,6,14,1,18.277777,5.99,4523,113
2011,6,15,2,20,5.99,4585,104
2011,6,16,3,16.722222,5.99,4673,121
2011,6,17,4,15.305555,5.99,4758,135
2011,6,18,5,16.111111,5.99,4623,116
2011,6,19,6,21.722222,5.99,4709,131
2011,6,20,0,25,5.99,4781,132
2011,6,21,1,24.75,5.99,4811,91
2011,6,22,2,18.888888,5.99,4894,103
2011,6,23,3,17.222222,5.99,4964,102
2011,6,24,4,15.611111,5.99,5049,116
2011,6,25,5,14.694444,5.99,4933,120
2011,6,26,6,16.166666,5.99,5020,136
2011,6,27,0,17.25,5.99,5084,129
2011,6,28,1,17,5.99,5145,119
2011,6,29,2,16.111111,5.99,5210,113
2011,6,30,3,17.75,5.99,5305,137
2011,7,1,4,22.222222,5.99,5363,124
2011,7,2,5,21,5.99,5239,94
2011,7,3,6,21.944444,5.99,5145,139
2011,7,5,1,22.75,5.99,5492,156
2011,7,6,2,20.861111,5.99,5513,106
2011,7,7,3,19.388888,5.99,5591,113
2011,7,8,4,18.277777,5.99,5675,126
2011,7,9,5,15,5.99,5549,108
2011,7,10,6,16.722222,5.99,5676,164
2011,7,11,0,15.611111,5.99,5721,138
2011,7,12,1,16.861111,5.99,5758,104
2011,7,13,2,16.722222,5.99,5844,119
2011,7,14,3,14.388888,5.99,5957,161
2011,7,15,4,15.805555,5.99,5987,120
2011,7,16,5,17.777777,5.99,5867,82
2011,7,17,6,17,5.99,6025,169
2011,7,18,0,18,5.99,6089,162
2011,7,19,1,18,5.99,6113,115
2011,7,20,2,21.416666,5.99,6188,119
2011,7,21,3,18.888888,5.99,6240,100
2011,7,22,4,17.222222,5.99,6334,123
2011,7,23,5,16.722222,5.99,6211,124
2011,7,24,6,16.416666,5.99,6264,106
2011,7,25,0,16.722222,5.99,6345,116
2011,7,26,1,17.222222,5.99,6431,131
2011,7,27,2,17.777777,5.99,6454,83
2011,7,28,3,17.777777,5.99,6551,109
2011,7,29,4,17.5,5.99,6613,100
2011,7,30,5,17.222222,5.99,6513,92
2011,7,31,6,17,5.99,6645,153
2011,8,1,0,17.777777,5.99,6694,131
2011,8,2,1,17.222222,5.99,6759,125
2011,8,3,2,16.722222,5.99,6815,110
2011,8,4,3,16.861111,5.99,6885,109
2011,8,5,4,17.5,5.99,6967,120
2011,8,6,5,16,5.99,6847,117
2011,8,7,6,16.722222,5.99,6967,166
2011,8,8,0,16.111111,5.99,7013,141
2011,8,9,1,17.222222,5.99,7039,96
2011,8,10,2,16.722222,5.99,7141,127
2011,8,11,3,15.611111,5.99,7273,188
2011,8,12,4,16.111111,5.99,7338,182
2011,8,13,5,18.138888,5.99,7156,169
2011,8,14,6,17.777777,5.99,7267,209
2011,8,15,0,18.444444,5.99,7256,127
2011,8,16,1,17.75,5.99,7320,120
2011,8,17,2,17,5.99,7379,108
2011,8,18,3,16.722222,5.99,7478,136
2011,8,19,4,15,5.99,7554,141
2011,8,20,5,17,5.99,7413,156
2011,8,21,6,16.111111,5.99,7517,189
2011,8,22,0,17.777777,5.99,7545,146
2011,8,23,1,23,5.99,7607,137
2011,8,24,2,21.416666,5.99,7648,107
2011,8,25,3,18.277777,5.99,7730,118
2011,8,26,4,17,5.99,7785,102
2011,8,27,5,17,5.99,7683,115
2011,8,28,6,17.222222,5.99,7802,163
2011,8,29,0,17,5.99,7826,116
2011,8,30,1,15.611111,5.99,7887,106
2011,8,31,2,16,5.99,7952,100
2011,9,1,3,17.777777,5.99,8019,96
2011,9,2,4,18.638888,5.99,8117,123
2011,9,3,5,16.972222,5.99,7994,140
2011,9,4,6,16.111111,5.99,7854,123
2011,9,6,1,18.277777,5.99,8226,165
2011,9,7,2,20.25,5.99,8290,158
2011,9,8,3,16.111111,5.99,8323,120
2011,9,9,4,21,5.99,8404,130
2011,9,10,5,19.694444,5.99,8274,145
2011,9,11,6,18.138888,5.99,8388,188
2011,9,12,0,18,5.99,8408,137
2011,9,13,1,18.277777,5.99,8443,101
2011,9,14,2,16.111111,5.99,8498,85
2011,9,15,3,15.611111,5.99,8613,129
